,by,descendants,id,kids,score,time,title,type,url,text
10,news_to_me,37.0,38827876,"[38851515, 38849972, 38831890, 38849915, 38828766, 38850734, 38851071, 38829683, 38850937, 38850932, 38850062, 38850578, 38850063, 38834267]",140,1704060074,"Show HN: Cassette, a Personal Programming Language",story,https://cassette-lang.com,"I made this simple language over the past year, and it&#x27;s time for me to say it&#x27;s &quot;done&quot; (for now) and focus on other projects.<p>I&#x27;ve struggled to answer the question &quot;what is this language for?&quot; other than &quot;it&#x27;s just for me&quot; — and that&#x27;s probably good enough. But I also wanted to make something &quot;complete&quot; that others could use if they wanted to. Writing my own language was an incredibly rewarding experience, and I&#x27;d recommend everyone trying it.<p>Let me know if you have any questions or feedback, and please share your own experience if you&#x27;ve also made a language."
11,gregsadetsky,69.0,38844943,"[38846282, 38847150, 38851881, 38851768, 38849357, 38848633, 38847142, 38848057, 38847102, 38851393, 38850876, 38846552, 38846264, 38850869, 38848589, 38846212, 38846339, 38847800, 38849413, 38846943, 38849270, 38847527, 38847123, 38848548, 38847389, 38848487, 38846732, 38847930, 38850633, 38846081, 38847790]",265,1704219656,How to do OCR on a Mac using the CLI or just Python,story,https://blog.greg.technology/2024/01/02/how-do-you-ocr-on-a-mac.html,
12,ingve,2.0,38847732,[38849382],78,1704233194,QEMU AioContext removal and how it was done,story,http://blog.vmsplice.net/2024/01/qemu-aiocontext-removal-and-how-it-was.html,
13,neural_thing,59.0,38842571,"[38844142, 38844949, 38843751, 38848836, 38851334, 38849601, 38844508, 38844513, 38844569, 38846527, 38845352, 38846290, 38844080, 38843913, 38847552]",158,1704209265,Thomas Cochrane,story,https://sergey.substack.com/p/thomas-cochrane,
14,PaulHoule,54.0,38848566,"[38849053, 38849176, 38851191, 38849642, 38850426, 38849353, 38849259, 38849654, 38849633, 38849814, 38849558, 38849595, 38849377]",71,1704237982,Can a pill prevent deaths from venomous snakebites?,story,https://www.latimes.com/environment/story/2023-12-24/can-a-pill-prevent-deaths-from-venomous-snake-bites,
15,tomduncalf,26.0,38845951,"[38846850, 38847128, 38847346, 38850761, 38846978, 38848960, 38846386]",92,1704224073,CGA in 1024 colors – a new mode (2015),story,https://int10h.org/blog/2015/04/cga-in-1024-colors-new-mode-illustrated/,
16,teejae,66.0,38845650,"[38851103, 38846983, 38851839, 38851643, 38851782, 38850851, 38846028, 38846570, 38851075, 38851619, 38846130, 38846762, 38846964, 38846503, 38846268, 38846516, 38847885, 38846204, 38846254, 38846239, 38846221, 38846598]",77,1704222636,Show HN: Better Seater – Wedding seating chart optimizer,story,https://seater.steam-oven.net/,"Is anyone having a big wedding reception&#x2F;event with assigned seating soon? Or know anyone who will?<p>I&#x27;ve been working on a tool to optimize seating charts for assigned seat events, such as weddings. I&#x27;m hoping this site will save people enough time and stress, to charge for the service for larger events.<p>At the moment, there&#x27;s no login required, and the service saves no data.<p><pre><code>  Why?
    * Save time, rearranging people automatically
    * Help with politics of large gatherings
    * Try moving people and quickly seeing how everything shakes out

  Currently, it will try to optimize for:
    * Keeping groups together as much as possible
    * Use fewer total tables
    * Keep people either together or apart, as indicated

  Current Capabilities:
    * Import guest list&#x2F;table capacity information from Excel file (there&#x27;s a template)
      * Generate fake guest list to play around
    * Dragging people to different tables and reoptimize
    * Selecting sets of people who you want to keep together or apart
    * Locking people to certain tables
    * Edit history

  On roadmap:
    * Prioritizing people to seat at &quot;better tables&quot; (VIPs, close family, etc)
    * Rearranging tables visually
</code></pre>
What do you all think? Is this valuable? How&#x27;s the UX?<p>I haven&#x27;t come up with a great name for it yet, so naming it &quot;Better Seater&quot; for now.<p>All feedback and suggestions welcome and appreciated! Let me know what would be useful for you!"
17,venamresm__,0.0,38839724,,12,1704187243,Playing with Fontconfig (2020),story,https://venam.net/blog/unix/2020/09/14/playing_with_fonts.html,
18,yorwba,27.0,38840614,"[38849370, 38851357, 38849888, 38849200, 38849003, 38849589, 38847840, 38849493, 38848165, 38848626, 38848278, 38848232]",118,1704195798,Notes on the Ivory Coast,story,https://mattlakeman.org/2024/01/01/notes-on-the-ivory-coast/,
19,cdme,238.0,38847719,"[38850002, 38848151, 38850559, 38851805, 38848088, 38848035, 38849934, 38848067, 38850326, 38848050, 38848194, 38851418, 38849977, 38848056, 38850437, 38850893, 38850148, 38848161, 38850643, 38850358, 38851488, 38849847, 38849500, 38851471, 38850892, 38849834, 38849942, 38850517, 38848158, 38850530, 38850943, 38848302, 38851649, 38850350, 38849606, 38850858, 38850451, 38847998, 38850010, 38850877, 38850760, 38850650, 38848098, 38848078, 38849980, 38850855, 38848079, 38848172, 38849434]",191,1704233106,Browsers are the most likely disruptor of the mobile duopoly,story,https://infrequently.org/2024/01/the-web-is-the-app-store/,
